Ciudad,País,Colab 0,Colab 1,Colab 2,Colab 3,Colab 4,Colab 5,Colab 6,Colab 7,Colab 8,Colab 9,Ranking Capitals 0,Ranking Capitals 1,Ranking Capitals 2,Ranking Capitals 3,Ranking Capitals 4,Ranking Capitals 5,Ranking Capitals 6,Ranking Capitals 7,Ranking Capitals 8,Ranking Capitals 9
CABA,Argentina,5.773442678862118,0.9218574805763633,0.11457400451876054,0.3550506069895965,0.25204006032003,0.9375504630325037,0.277218773218661,0.51710229607553,0.5586406014972677,0.5915985506004204,2.0,3.0,2.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0
CDMX,México,3.6361905472638205,0.817117924240975,-0.10580941933338261,0.25259325296767354,0.16518309782537388,0.9179155831038512,0.19720602734821258,0.4836724005667844,0.5059547638176844,0.5190431394858224,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0
Santiago,Chile,5.571008675471697,0.9567478570975168,0.10300480208538731,0.3607242986703179,0.24769740408772767,1.0088632417129013,0.27110660420679256,0.5117718436699943,0.5528985961451979,0.5880981426217673,3.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0
Montevideo,Uruguay,8.47125463111201,1.124531784014739,0.45258441859048537,0.45665116981261733,0.3875650855253491,1.0197035011864561,0.37389929622794876,0.5440871477426386,0.6266427363389724,0.6322333279664538,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
Madrid,España,4.256042609212872,0.8539046921247062,-0.06494276818681188,0.29793509490093134,0.20102348643914064,0.9372394201581791,0.22846547793265953,0.4853301944897534,0.5140083140648491,0.5683856739500017,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
Sao Paulo,Brasil,3.258518269517524,0.7936422931791174,-0.1880516096018467,0.2624527531780624,0.16878306058868053,0.9239941450309692,0.211308823230363,0.45552690673287366,0.4689904775438194,0.48174660547370807,6.0,6.0,6.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0
AGS,México,3.6605751703155427,0.9452911766596077,0.20237518358801432,0.3813146046514809,0.28696080348700265,0.9099161766596078,0.31971084173730707,0.4616300663033,0.5019957508249939,0.5531038568770859,,,,,,,,,,
GDL,México,4.845969303063372,0.9412828306870735,0.16833630662290244,0.3727940858084724,0.2739642674722916,0.9267293547512446,0.29765483495765865,0.49211674399055516,0.5371541905426825,0.579186692451109,,,,,,,,,,
Pachuca,México,3.686996860738719,0.9921212750727367,0.1440412038983595,0.3263765115437507,0.2490750443975899,1.0626212750727366,0.2783758766372771,0.4726499733979921,0.5123750606164013,0.5086096595944104,,,,,,,,,,
Oaxaca,México,2.495120182304686,0.9166599934389714,0.13294684554538383,0.3273495989749658,0.2525980346846883,0.924770731694005,0.2856151042269785,0.4179384200516183,0.45524824288717547,0.5003510037842012,,,,,,,,,,
Valencia,España,9.321964187186081,1.1431778519674838,0.4835976212768719,0.45922483280909654,0.3997996809729467,1.0392889630785949,0.39555556090385985,0.568237204036278,0.6452443815190931,0.6555015489772101,,,,,,,,,,
